Produktname,VRAM,Preis_EUR
ASUS Prime GeForce RTX 5070 Ti OC,16GB,879.0
ASUS Prime Radeon RX 9070 XT OC,16GB,714.96
PowerColor Hellhound Radeon RX 9070 XT,16GB,714.96
ASUS Dual GeForce RTX 5060 Ti OC,16GB,442.69
Sapphire Pulse Radeon RX 9060 XT,16GB,382.18
ASRock Radeon RX 9070 XT Steel Legend 16GB,16GB,714.96
ASUS ROG Astral GeForce RTX 5090 OC,32GB,2899.0
GIGABYTE Radeon RX 9070 XT Gaming OC 16G,16GB,720.77
Zotac Gaming GeForce RTX 5070 Ti Solid SFF,16GB,822.44
Zotac Gaming GeForce RTX 5080 Solid CORE,16GB,1166.72
PowerColor Reaper Radeon RX 9060 XT,16GB,372.1
ASUS ROG Astral GeForce RTX 5080 OC,16GB,1522.79
Sapphire Pulse Radeon RX 9070 XT,16GB,766.2
Palit GeForce RTX 5070 Ti GamingPro-S,16GB,805.72
ASUS TUF Gaming GeForce RTX 5070 Ti OC,16GB,999.0
Acer Nitro Radeon RX 9070 OC,16GB,604.03
Zotac Gaming GeForce RTX 5090 Solid,32GB,2379.0
ASUS Prime GeForce RTX 5070,12GB,587.9
ASUS Prime Radeon RX 9060 XT OC,16GB,409.99
ASUS TUF Gaming GeForce RTX 5090,32GB,2590.55
Sapphire Nitro+ Radeon RX 9070 XT,16GB,814.88
XFX Swift Radeon RX 9070 XT Triple Fan Gaming Edition,16GB,720.3
XFX Swift Radeon RX 9060 XT OC Gaming Edition,16GB,372.1
GIGABYTE GeForce RTX 5080 Gaming OC 16G,16GB,1255.64
ASRock Radeon RX 9060 XT Challenger 16GB OC,16GB,372.1
ASUS TUF Gaming Radeon RX 9070 XT OC,16GB,778.98
MSI GeForce RTX 5060 Ti 16G Ventus 2X OC Plus,16GB,443.5
XFX Quicksilver Radeon RX 9070 OC Gaming Edition,16GB,635.29
MSI GeForce RTX 5070 Ti 16G Ventus 3X OC,16GB,902.52
GIGABYTE GeForce RTX 5070 Windforce SFF 12G,12GB,564.9
MSI GeForce RTX 5070 Ti 16G Gaming Trio OC,16GB,944.84
ASUS Prime Radeon RX 9070 OC,16GB,658.88
PowerColor Red Devil Radeon RX 9070 XT,16GB,786.0
GIGABYTE GeForce RTX 5080 Aero OC SFF 16G,16GB,1259.5
Gainward GeForce RTX 5070 Ti Phoenix-S,16GB,807.0
ASRock Radeon RX 9060 XT Steel Legend 16GB OC,16GB,433.52
Palit GeForce RTX 5080 GamingPro OC,16GB,1138.49
GIGABYTE Radeon RX 9060 XT Gaming OC 16G,16GB,402.35
PNY GeForce RTX 4060 Ti Verto Dual Fan,16GB,468.31
INNO3D GeForce RTX 5090 X3 OC,32GB,2409.0
Acer Nitro Radeon RX 9070 XT OC,16GB,749.9
ASUS ROG Strix GeForce RTX 5070 Ti OC,16GB,1095.0
Palit GeForce RTX 5080 GameRock OC,16GB,1289.0
ASUS Dual Radeon RX 7600 EVO OC,8GB,230.74
ASUS TUF Gaming GeForce RTX 5080 OC,16GB,1399.0
ASUS Prime GeForce RTX 5070 OC,12GB,583.86
Sapphire Nitro+ Radeon RX 7900 XTX Vapor-X,24GB,965.71
GIGABYTE GeForce RTX 5070 Ti Windforce SFF 16G,16GB,846.01
Sapphire Pure Radeon RX 9060 XT,16GB,392.69
PowerColor Reaper Radeon RX 9070 XT,16GB,724.04
ASUS Prime GeForce RTX 5060 Ti OC,16GB,508.14
ASUS ROG Astral LC GeForce RTX 5090 OC,32GB,2999.0
Palit GeForce RTX 5070 GamingPro OC,12GB,653.48
Palit GeForce RTX 5080 GamingPro V1,16GB,1108.24
XFX Speedster QICK 319 Radeon RX 7800 XT Core Edition,16GB,472.94
Zotac Gaming GeForce RTX 5060 Ti Twin Edge,16GB,447.84
GIGABYTE Radeon RX 9070 Gaming OC 16G,16GB,654.45
GIGABYTE AORUS Radeon RX 9070 XT Elite 16G,16GB,847.0
GIGABYTE GeForce RTX 5070 Ti Windforce OC SFF 16G,16GB,849.95
MSI GeForce RTX 5080 16G Gaming Trio OC,16GB,1390.59
Sapphire Pulse Radeon RX 9070,16GB,668.56
GIGABYTE GeForce RTX 5070 Windforce OC SFF 12G,12GB,563.68
ASRock Radeon RX 9070 XT Taichi 16GB OC,16GB,810.43
Gainward GeForce RTX 5060 Ti Python III,16GB,444.0
ASUS Prime GeForce RTX 5080 OC,16GB,1188.91
GIGABYTE AORUS GeForce RTX 5090 Master ICE 32G,32GB,2744.84
ASUS Dual GeForce RTX 5070 OC,12GB,569.9
ASRock Radeon RX 7900 XTX Phantom Gaming OC,24GB,871.25
XFX Swift Radeon RX 9060 XT OC Triple Fan Gaming Edition,16GB,394.55
PowerColor Hellhound Radeon RX 9060 XT,16GB,400.32
MSI GeForce RTX 5090 32G Ventus 3X OC,32GB,2549.0
XFX Mercury Radeon RX 9070 XT OC Gaming Edition with RGB,16GB,764.9
ASUS TUF Gaming GeForce RTX 5090 OC,32GB,2699.0
PowerColor Hellhound Radeon RX 9070,16GB,661.83
MSI GeForce RTX 5090 32G Suprim Liquid SOC,32GB,2819.0
MSI GeForce RTX 5070 Ti 16G Gaming Trio OC White,16GB,978.14
Zotac Gaming GeForce RTX 5090 Solid OC,32GB,2499.0
Sapphire Nitro+ Radeon RX 7800 XT,16GB,532.55
ASUS TUF Gaming Radeon RX 9060 XT OC,16GB,448.9
Zotac Gaming GeForce RTX 5060 Ti Twin Edge OC,16GB,443.69
XFX Swift Radeon RX 9070 XT White Triple Fan Gaming Edition,16GB,717.35
Zotac Gaming GeForce RTX 5080 Solid CORE OC,16GB,1155.0
Palit GeForce RTX 5060 Ti Infinity 3 OC,16GB,456.6
XFX Swift Radeon RX 9060 XT OC White Triple Fan Gaming Edition,16GB,394.55
NVIDIA GeForce RTX 5090 Founders Edition,32GB,3489.0
GIGABYTE GeForce RTX 5090 Gaming OC 32G,32GB,2544.0
MSI GeForce RTX 5070 Ti 16G Gaming Trio OC Plus,16GB,1077.94
MSI GeForce RTX 5070 12G Gaming Trio OC,12GB,660.5
MSI GeForce RTX 3060 Ventus 2X 12G OC,12GB,263.9
XFX Quicksilver Radeon RX 9070 XT Gaming Edition,16GB,731.86
PowerColor Hellhound Spectral White Radeon RX 9070 XT,16GB,759.9
Sapphire Nitro+ Radeon RX 9060 XT,16GB,439.0
Intel Arc B580 Limited Edition,12GB,281.34
MSI GeForce RTX 5060 8G Ventus 2X OC,8GB,299.99
ASUS Dual GeForce RTX 5060 OC,8GB,305.72
Sapphire Pure Radeon RX 9070 XT,16GB,787.33
MSI GeForce RTX 5060 Ti 8G Ventus 2X OC Plus,8GB,367.5
Sapphire Pulse Radeon RX 7900 XT White,20GB,662.21
ASRock Arc B580 Challenger 12GB OC,12GB,276.95
PNY GeForce RTX 4070 SUPER Verto Overclocked Dual Fan,12GB,561.02
MSI GeForce RTX 5090 32G Suprim SOC,32GB,2789.0
Acer Predator BiFrost Radeon RX 9070 OC,16GB,604.03
Zotac Gaming GeForce RTX 5070 Ti Solid Core OC,16GB,885.18
INNO3D GeForce RTX 5070 Ti X3 OC,16GB,856.14
Palit GeForce RTX 5060 Ti Infinity 3,16GB,452.77
MSI GeForce RTX 5070 Ti 16G Inspire 3X OC,16GB,886.39
ASUS TUF Gaming GeForce RTX 5070 Ti OC White,16GB,1046.44
ASUS Dual Radeon RX 7800 XT OC,16GB,499.0
GIGABYTE GeForce RTX 5090 Windforce OC 32G,32GB,2620.84
GIGABYTE GeForce RTX 5070 Ti Gaming OC 16G,16GB,918.66
XFX Swift Radeon RX 9070 OC White Triple 90mm Fan Gaming Edition,16GB,645.0
PowerColor Reaper Radeon RX 9070,16GB,664.54
MSI GeForce RTX 5080 16G Vanguard SOC,16GB,1419.0
GIGABYTE GeForce RTX 5060 Ti Windforce 16G,16GB,455.0
ASUS ROG Strix GeForce RTX 4090 OC,24GB,3289.99
GIGABYTE AORUS GeForce RTX 5090 Xtreme Waterforce WB 32G,32GB,3386.73
Sapphire Pulse Radeon RX 7700 XT,12GB,397.1
INNO3D GeForce RTX 3080 X3 LHR,10GB,349.9
GIGABYTE Radeon RX 7600 XT Gaming OC 16G,16GB,321.68
MSI GeForce RTX 5060 Ti 16G Gaming Trio OC White,16GB,555.63
MSI GeForce RTX 5080 16G Gaming Trio OC White,16GB,1339.0
ASUS TUF Gaming Radeon RX 9070 OC,16GB,709.0
ASUS ROG Astral GeForce RTX 5090 White OC,32GB,3159.9
Zotac Gaming GeForce RTX 5070 Twin Edge,12GB,567.8
GIGABYTE AORUS GeForce RTX 5080 Master 16G,16GB,1453.84
PowerColor Red Devil Spectral White Radeon RX 9070 XT,16GB,821.38
Gainward GeForce RTX 5070 Ti Phantom,16GB,859.9
PNY GeForce RTX 5080 Overclocked Triple Fan,16GB,1204.55
MSI GeForce RTX 4060 Ti Ventus 2X Black 16G OC,16GB,578.5
MSI GeForce RTX 5060 Ti 16G Ventus 3X OC,16GB,492.08
MSI GeForce RTX 4060 Ventus 2X Black 8G OC,8GB,323.49
ASRock Radeon RX 9060 XT Challenger 8GB OC,8GB,317.65
Zotac Gaming GeForce RTX 5090 AMP Extreme INFINITY,32GB,2599.0
Sapphire Nitro+ Radeon RX 9070,16GB,694.98
Zotac Gaming GeForce RTX 5080 Solid OC White Edition,16GB,1207.39
MSI GeForce RTX 5080 16G Suprim SOC,16GB,1514.69
ASUS TUF Gaming GeForce RTX 5070 OC,12GB,654.45
Gainward GeForce RTX 5070 Python III,12GB,565.0
MSI GeForce GT 1030 4GHD4 LP OC,4GB,71.79
ASUS Dual GeForce RTX 3050 OC,6GB,173.88
Sapphire Pulse Radeon RX 9060 XT,8GB,301.51
GIGABYTE GeForce RTX 4070 Windforce OC 12G,12GB,693.52
PowerColor Red Devil Radeon RX 9070 XT Special Edition,16GB,779.02
MSI GeForce RTX 5060 Ti 16G Gaming Trio OC,16GB,556.7
Zotac Gaming GeForce RTX 4070 Ti SUPER Solid,16GB,1084.0
GIGABYTE AORUS GeForce RTX 5070 Ti Master 16G,16GB,1037.65
ASUS Prime GeForce RTX 5070 Ti,16GB,1038.99
XFX Mercury Radeon RX 9070 XT OC Magnetic Air Edition with RGB,16GB,804.6
MSI GeForce RTX 5090 32G Gaming Trio OC,32GB,2707.56
INNO3D GeForce RTX 5090 X3,32GB,2429.0
PowerColor Reaper Radeon RX 9060 XT,8GB,311.59
INNO3D GeForce RTX 5080 X3 OC,16GB,1139.0
NVIDIA RTX PRO 6000 Blackwell Workstation Edition,96GB,10990.0
Zotac Gaming GeForce RTX 5060 Solo,8GB,298.98
GIGABYTE GeForce RTX 5070 Gaming OC 12G,12GB,659.99
GIGABYTE GeForce RTX 5060 OC Low Profile 8G,8GB,322.9
XFX Swift Radeon RX 9070 OC Triple 90mm Fan Gaming Edition,16GB,653.34
GIGABYTE AORUS GeForce RTX 5090 Xtreme Waterforce 32G,32GB,2894.98
Zotac Gaming GeForce RTX 5080 AMP Extreme INFINITY ULTRA,16GB,1314.0
Palit GeForce RTX 4080 GameRock OmniBlack,16GB,1444.33
ASRock Radeon RX 9070 XT Steel Legend Dark 16GB,16GB,755.9
GIGABYTE AORUS GeForce RTX 5090 Master 32G,32GB,2804.37
GIGABYTE Radeon RX 9060 XT Gaming OC 8G,8GB,315.0
