Produktname,Speicher,Preis_EUR
Samsung SSD 990 PRO 2TB,2TB,158.95
Samsung SSD 990 PRO 4TB,4TB,286.82
Samsung SSD 990 EVO Plus 2TB,2TB,127.52
Western Digital WD_BLACK SN850X NVMe SSD 2TB,2TB,148.6
Samsung SSD 9100 PRO 2TB,2TB,238.4
Lexar NM790 2TB,2TB,118.89
Western Digital WD_BLACK SN850X NVMe SSD 8TB,8TB,588.77
Lexar NM790 4TB,4TB,237.32
Western Digital WD Blue SN580 NVMe SSD 2TB,2TB,99.9
Samsung SSD 9100 PRO 4TB,4TB,422.75
Kingston NV3 NVMe PCIe 4.0 SSD 1TB,1TB,58.37
Lexar NQ790 4TB,4TB,212.76
Western Digital WD_BLACK SN850P NVMe SSD 1TB,1TB,117.9
Samsung SSD 990 EVO Plus 1TB,1TB,77.6
Samsung SSD 990 PRO 1TB,1TB,99.9
Samsung SSD 990 EVO Plus 4TB,4TB,253.48
Western Digital WD_BLACK SN850P NVMe SSD 2TB,2TB,188.58
Samsung OEM Datacenter SSD PM893 7.68TB,68TB,849.54
Seagate FireCuda 530R SSD +Rescue 2TB,2TB,165.16
Western Digital WD_BLACK SN850X NVMe SSD 4TB,4TB,284.98
Samsung SSD 870 QVO 8TB,8TB,539.0
Western Digital WD_BLACK SN770 NVMe SSD 2TB,2TB,116.74
Western Digital WD Green SN3000 NVMe SSD 2TB,2TB,102.88
Western Digital Red SN700 NVMe NAS SSD - 1DWPD 1TB,1TB,82.56
Western Digital WD Blue SN580 NVMe SSD 500GB,500GB,45.96
Crucial P3 Plus SSD 1TB,1TB,60.58
Verbatim Vi5000 PCIe NVMe SSD 2TB,2TB,95.7
Lexar NM790 1TB,1TB,69.48
Samsung SSD 870 EVO 2TB,2TB,152.88
Kingston KC3000 PCIe 4.0 NVMe SSD 2048GB,2048GB,134.9
Samsung SSD 9100 PRO 1TB,1TB,156.28
Western Digital WD Red SA500 NAS SATA SSD 4TB,4TB,281.26
Western Digital WD Red SA500 NAS SATA SSD 2TB,2TB,140.23
Samsung SSD 870 EVO 1TB,1TB,92.63
Lexar NQ790 2TB,2TB,107.74
Lexar NM620 2TB,2TB,96.71
Intenso MI500 SSD 1TB,1TB,55.9
Samsung SSD 870 EVO 4TB,4TB,277.92
Western Digital WD_BLACK SN850P NVMe SSD 8TB,8TB,705.87
Western Digital WD_BLACK SN7100 NVMe SSD 2TB,2TB,122.88
Samsung SSD 980 PRO 1TB,1TB,129.23
Verbatim Vi550 S3 SSD 1TB,1TB,48.3
KIOXIA EXCERIA PLUS G3 SSD 2TB,2TB,106.24
Crucial T500 SSD 2TB,2TB,146.56
Western Digital WD_BLACK SN850X NVMe SSD 8TB,8TB,599.0
Crucial P310 SSD 2TB,2TB,118.85
Samsung SSD 990 PRO 4TB,4TB,306.16
Crucial BX500 1TB,1TB,49.99
Kingston FURY Renegade G5 SSD 4TB,4TB,541.36
Western Digital WD_BLACK SN850X NVMe SSD 1TB,1TB,87.34
