cpu_range,JAN,FEB,MAR,APR,MAY
Intel 2.3 Ghz to 2.69 Ghz,23.41,25.94,23.34,22.56,22.18
Intel 3.3 Ghz to 3.69 Ghz,14.82,14.8,14.22,14.63,14.3
Intel 2.7 Ghz to 2.99 Ghz,11.4,14.07,10.93,10.53,10.28
Intel 3.0 Ghz to 3.29 Ghz,5.61,4.56,5.55,5.48,5.47
Intel 2.0 Ghz to 2.29 Ghz,4.07,6.08,3.74,3.67,3.71
Intel 3.7 Ghz and above,2.13,1.83,2.1,2.06,2.07
Intel 1.7 Ghz to 1.99 Ghz,1.16,0.8,1.2,1.16,1.2
Intel Below 1.4 Ghz,0.81,0.56,0.88,0.82,0.86
Intel 1.5 Ghz to 1.69 Ghz,0.18,0.14,0.19,0.18,0.2
Intel 1.4 Ghz to 1.49 Ghz,0.16,0.1,0.16,0.15,0.16
Amd 3.7 Ghz and above,13.73,13.43,14.83,15.63,16.4
Amd 3.3 Ghz to 3.69 Ghz,12.4,10.27,12.63,12.83,12.81
Amd 3.0 Ghz to 3.29 Ghz,5.66,4.16,5.65,5.74,5.68
Amd 2.7 Ghz to 2.99 Ghz,1.52,1.16,1.54,1.53,1.56
Amd 2.0 Ghz to 2.29 Ghz,1.17,0.81,1.19,1.15,1.18
Amd 2.3 Ghz to 2.69 Ghz,1.06,0.78,1.05,1.1,1.1
Amd 1.7 Ghz to 1.99 Ghz,0.6,0.43,0.67,0.65,0.7
Amd Below 1.4 Ghz,0.03,0.02,0.03,0.02,0.02
Amd 1.5 Ghz to 1.69 Ghz,0.01,0.01,0.02,0.02,0.02
Amd 1.4 Ghz to 1.49 Ghz,0.01,0.01,0.01,0.01,0.01
Amd VirtualApple,78.9,79.82,80.95,81.0,81.69
Amd GenuineIntel,21.06,20.15,19.0,18.97,18.26
